xformer_name,xformer_wind1_bus,xformer_wind2_bus,xformer_wind3_bus,xformer_id,winding1_basemva,winding2_basemva,winding3_basemva,winding1_basekv,winding2_basekv,winding3_basekv,winding1_rateA,winding1_rateB,winding1_rateC,winding2_rateA,winding2_rateB,winding2_rateC,winding3_rateA,winding3_rateB,winding3_rateC,p_winding1,q_winding1,p_winding2,q_winding2,p_winding3,q_winding3,amp_winding1,amp_winding2,amp_winding3,Ploss,Qloss,winding1_stat,winding2_stat,winding3_stat,violate
BANK 51,667500,667035,669101,51,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1385.987183,1385.987183,2387.970947,2713.044189,3012.011475,2861.649170,2861.649170,2861.649170,-240.9027405,117.8632965,241.1021271,-191.9276581,0.00000000,82.12285614,297.8995972,740.2529907,974.4540405,0.19938660,8.05849457,1,1,1,
BANK 52,667500,667035,669102,52,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1385.987183,1385.987183,2387.970947,2713.044189,3012.011475,2861.649170,2861.649170,2861.649170,-241.2595978,126.7295685,241.4998016,-284.0554810,0.00000000,168.7863770,302.7080994,895.6071167,1975.663696,0.24020386,11.46046448,1,1,1,
BANK 1_8,667038,668148,669148,1,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,753.0655518,628.0566406,1255.109253,1411.244995,1255.109253,2510.218506,2510.218506,2510.218506,81.17939758,38.61274338,-81.10935974,-34.79394150,-0.00000000,0.00000000,217.4957275,434.9913330,0.00000000,0.07003784,3.81880188,1,1,1,
BANK 2_5,667038,668148,669149,2,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1013.124268,884.0990601,2451.646729,2451.646729,2451.646729,61.40931320,29.19118500,-61.35565186,-26.30286789,-0.00000000,0.00000000,164.5090485,329.0182800,0.00000000,0.05366135,2.88831711,1,1,1,
BANK 3,667038,668038,669150,3,171.0000000,171.0000000,171.0000000,230.0000000,115.0000000,13.80000019,714.9102783,830.8823242,714.9102783,1430.824585,1594.992920,1430.824585,2928.588379,2928.588379,2928.588379,91.39056396,44.10512543,-91.34027863,-39.79712296,-0.00000000,0.00000000,245.5177765,491.0351257,0.00000000,0.05028534,4.30800247,1,1,1,
BANK 4,667038,668038,669151,4,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1013.124268,884.0990601,2451.646729,2451.646729,2451.646729,61.65489960,29.13307762,-61.59732819,-26.23942566,0.00000000,-0.00000000,164.9857788,329.9730225,0.00000000,0.05757141,2.89365196,1,1,1,
BANK 71,667501,667041,669100,71,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1662.999756,1385.987183,3012.011475,3570.032959,3012.011475,3966.145264,3966.145264,3966.145264,-156.0481873,125.5801315,156.3875275,-287.2785339,0.00000000,176.7289276,222.1897583,785.7031860,2021.613647,0.33934021,15.03053284,1,1,1,
BANK 72,667501,667041,669135,72,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1662.999756,1385.987183,3012.011475,3570.032959,3012.011475,3966.145264,3966.145264,3966.145264,-156.2058563,24.67397881,156.2553711,-20.28035736,0.00000000,0.00000000,175.4223022,378.4926147,0.00000000,0.04951477,4.39362144,1,1,1,
BANK 1_12,667047,668047,669152,1,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,703.1122437,842.9313965,703.1122437,1191.851807,1199.884521,1406.224487,2510.218506,2510.218506,2510.218506,69.13091278,0.75694489,-69.08998108,1.47793818,-0.00000000,0.00000000,166.6364746,341.8195801,0.00000000,0.04093170,2.23488307,1,1,1,
BANK 2_9,667047,668047,669113,2,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,753.0655518,628.0566406,1199.884521,1199.884521,1255.109253,2510.218506,2510.218506,2510.218506,69.13146210,0.84799796,-69.09323120,1.38517416,0.00000000,0.00000000,166.6403503,341.8261719,0.00000000,0.03823090,2.23317218,1,1,1,
